,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
61,development_new61,1000," When Bruce refuses, they challenge him to settle the matter in combat  _ defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks _ after he has admitted defeat, and _ sustains a debilitating back injury  While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," When Bruce refuses, they challenge him to settle the matter in combat  "," defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks ",gold,bruce,"a secret, no-holds-barred match",,,1
25,development_new25,1000," The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in _, Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian", The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in ,", Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian",gold,college,defiance,,,1
74,development_new74,1000," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for _ Kung Fu, agreeing that Bruce will feature in the lead role"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for "," Kung Fu, agreeing that Bruce will feature in the lead role",gold,the role,the television series,,,2
65,development_new65,1000,"Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats _, earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight","Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats ",", earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight",gold,johnny,the respect,,,1
17,development_new17,1000," His father insists he go to the US In _, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college", His father insists he go to the US In ,", Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college",gold,the us,money,,,1
21,development_new21,1000," His father insists he go to the US In _, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college", His father insists he go to the US In ,", Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college",gold,the us,a brawl,,,1
36,development_new36,1000," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When _ refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury"," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When "," refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury",gold,bruce,the matter,,,1
9,development_new9,1000,"In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in _ having to leave Hong Kong","In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in ", having to leave Hong Kong,gold,a nightmare,him,,,2
24,development_new24,1000," The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in _, Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian", The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in ,", Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian",gold,college, bruce,,,1
22,development_new22,1000," His father insists he go to the US In _, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college", His father insists he go to the US In ,", Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college",gold,the us,he,,,1
23,development_new23,1000," His father insists he go to the US In _, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college", His father insists he go to the US In ,", Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college",gold,the us,the cooks,,,1
78,development_new78,1000," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for _ Kung Fu, agreeing that Bruce will feature in the lead role"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for "," Kung Fu, agreeing that Bruce will feature in the lead role",gold,johnny,the television series,,,2
45,development_new45,1000," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When _ refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury"," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When "," refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury",gold,bruce,him,,,1
18,development_new18,1000," His father insists he go to the US In _, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college", His father insists he go to the US In ,", Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college",gold,the us,him,,,1
55,development_new55,1000," When Bruce refuses, they challenge him to settle the matter in combat  _ defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks _ after he has admitted defeat, and _ sustains a debilitating back injury  While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," When Bruce refuses, they challenge him to settle the matter in combat  "," defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks ",gold,bruce,the martial arts book tao,,,1
52,development_new52,1000," When Bruce refuses, they challenge him to settle the matter in combat  _ defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks _ after he has admitted defeat, and _ sustains a debilitating back injury  While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," When Bruce refuses, they challenge him to settle the matter in combat  "," defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks ",gold,bruce,combat,,,1
40,development_new40,1000," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When _ refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury"," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When "," refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury",gold,bruce,they,,,1
86,development_new86,1000," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring _ to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star"," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring "," to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star",gold,bruce,the demon's neck,,,1
