ID,Text,Pronoun,Pronoun-offset,A,A-offset,A-coref,B,B-offset,B-coref,URL
development_new1,The woman tolerated her friend's difficult behavior. she knew her friend was going through a hard time. The woman felt that her friend took advantage of her kindness.,she,53,her friend,20,FALSE,the woman,0,TRUE,no url
development_new2,The woman tolerated her friend's difficult behavior. she knew her friend was going through a hard time. The woman felt that her friend took advantage of her kindness.,she,53,her kindness,153,FALSE,the woman,0,TRUE,no url
development_new3,The woman tolerated her friend's difficult behavior. she knew her friend was going through a hard time. The woman felt that her friend took advantage of her kindness.,she,53,advantage,140,FALSE,the woman,0,TRUE,no url
development_new4,The woman tolerated her friend's difficult behavior. she knew her friend was going through a hard time. The woman felt that her friend took advantage of her kindness.,she,53,a hard time,91,FALSE,the woman,0,TRUE,no url
development_new5,The woman did not tolerate her friend's difficult behavior anymore. she felt that her friend took advantage of her kindness. The woman knew her friend was going through a hard time.,she,68,the woman,0,TRUE,a hard time,169,FALSE,no url
development_new6,The woman did not tolerate her friend's difficult behavior anymore. she felt that her friend took advantage of her kindness. The woman knew her friend was going through a hard time.,she,68,the woman,0,TRUE,her kindness,111,FALSE,no url
development_new7,The woman did not tolerate her friend's difficult behavior anymore. she felt that her friend took advantage of her kindness. The woman knew her friend was going through a hard time.,she,68,the woman,0,TRUE,advantage,98,FALSE,no url
development_new8,The woman did not tolerate her friend's difficult behavior anymore. she felt that her friend took advantage of her kindness. The woman knew her friend was going through a hard time.,she,68,the woman,0,TRUE,her friend,27,FALSE,no url
development_new9,The stain came out of the shirt. I patched it. I bleached the shirt.,it,43,the shirt,22,TRUE,i,7,FALSE,no url
development_new10,The shirt did not have a hole anymore. I patched it. I bleached the shirt.,it,49,a hole,23,FALSE,the shirt,0,TRUE,no url
development_new11,The physician misdiagnosed the patient. it disclosed confidential information to the physician. The patient filed a malpractice lawsuit against the physician.,it,40,the patient,27,TRUE,the physician,0,FALSE,no url
development_new12,The physician misdiagnosed the patient. The patient disclosed confidential information to he. The patient filed a malpractice lawsuit against the physician.,he,1,the physician,0,TRUE,confidential information,62,FALSE,no url
development_new13,The physician misdiagnosed the patient. The patient disclosed confidential information to she. The patient filed a malpractice lawsuit against the physician.,she,90,the physician,0,TRUE,confidential information,62,FALSE,no url
development_new14,The patient was a close friend of the physician. The patient disclosed confidential information to he. The patient filed a malpractice lawsuit against the physician.,he,1,the physician,34,TRUE,the patient,0,FALSE,no url
development_new15,The patient was a close friend of the physician. The patient disclosed confidential information to she. The patient filed a malpractice lawsuit against the physician.,she,99,the physician,34,TRUE,the patient,0,FALSE,no url
development_new16,The patient was a close friend of the physician. The patient disclosed confidential information to he. The patient filed a malpractice lawsuit against the physician.,he,1,the physician,34,TRUE,confidential information,71,FALSE,no url
development_new17,The patient was a close friend of the physician. The patient disclosed confidential information to she. The patient filed a malpractice lawsuit against the physician.,she,99,the physician,34,TRUE,confidential information,71,FALSE,no url
development_new18,The patient was a close friend of the physician. The patient disclosed confidential information to he. The patient filed a malpractice lawsuit against the physician.,he,1,the physician,34,TRUE,a malpractice lawsuit,121,FALSE,no url
development_new19,The patient was a close friend of the physician. The patient disclosed confidential information to she. The patient filed a malpractice lawsuit against the physician.,she,99,the physician,34,TRUE,a malpractice lawsuit,121,FALSE,no url
development_new20,The customer filed a complaint with the store manager. The sales associate acted rude to he. The sales associate undercharged the customer.,he,1,the customer,0,TRUE,the sales associate,55,FALSE,no url
development_new21,The customer filed a complaint with the store manager. The sales associate acted rude to she. The sales associate undercharged the customer.,she,89,the customer,0,TRUE,the sales associate,55,FALSE,no url
development_new22,The customer filed a complaint with the store manager. The sales associate acted rude to he. The sales associate undercharged the customer.,he,1,the customer,0,TRUE,the store manager,36,FALSE,no url
development_new23,The customer filed a complaint with the store manager. The sales associate acted rude to she. The sales associate undercharged the customer.,she,89,the customer,0,TRUE,the store manager,36,FALSE,no url
development_new24,The sales associate sent another invoice to the customer.  The sales associate undercharged he. The sales associate acted rude to the customer.,he,1,the sales associate,0,FALSE,the customer,44,TRUE,no url
development_new25,The sales associate sent another invoice to the customer.  The sales associate undercharged she. The sales associate acted rude to the customer.,she,92,the sales associate,0,FALSE,the customer,44,TRUE,no url
development_new26,The pond froze over for the winter. People brought boats to it. People skated on the pond.,it,60,boats,51,FALSE,the pond,0,TRUE,no url
development_new27,The pond froze over for the winter. People brought boats to it. People skated on the pond.,it,60,people,36,FALSE,the pond,0,TRUE,no url
development_new28,The frozen pond thawed in the spring. People brought boats to the pond. People skated on it.,it,89,boats,53,FALSE,the pond,62,TRUE,no url
development_new29,The frozen pond thawed in the spring. People brought boats to the pond. People skated on it.,it,89,people,38,FALSE,the pond,62,TRUE,no url
development_new30,The frozen pond thawed in the spring. People brought boats to the pond. People skated on it.,it,89,the frozen pond,0,FALSE,the pond,62,TRUE,no url
development_new31,The shirt shrunk. I put it in the dryer. he put het hen the dryer.,he,1,the shirt,0,FALSE,i,6,TRUE,no url
development_new32,The shirt shrunk. I put it in the dryer. she put shet shen the dryer.,she,41,the shirt,0,FALSE,i,6,TRUE,no url
development_new33,The shirt shrunk. I put it in the dryer. he put het hen the dryer.,he,1,it,24,FALSE,i,6,TRUE,no url
development_new34,The shirt shrunk. I put it in the dryer. she put shet shen the dryer.,she,41,it,24,FALSE,i,6,TRUE,no url
development_new35,The shirt shrunk. I put it in the dryer. he put het hen the dryer.,he,1,bleach,-1,FALSE,i,6,TRUE,no url
development_new36,The shirt shrunk. I put it in the dryer. she put shet shen the dryer.,she,41,bleach,-1,FALSE,i,6,TRUE,no url
development_new37,The shirt became clean. I poured bleach on it. he poured bleach on het.,he,1,i,6,TRUE,the shirt,0,FALSE,no url
development_new38,The shirt became clean. I poured bleach on it. she poured bleach on shet.,she,47,i,6,TRUE,the shirt,0,FALSE,no url
development_new39,The shirt became clean. I poured bleach on it. he poured bleach on het.,he,1,i,6,TRUE,it,43,FALSE,no url
development_new40,The shirt became clean. I poured bleach on it. she poured bleach on shet.,she,47,i,6,TRUE,it,43,FALSE,no url
development_new41,The shirt became clean. I poured bleach on it. he poured bleach on het.,he,1,i,6,TRUE,bleach,33,FALSE,no url
development_new42,The shirt became clean. I poured bleach on it. she poured bleach on shet.,she,47,i,6,TRUE,bleach,33,FALSE,no url
development_new43,I hung up the phone. The caller said goodbye to me. he said goodbye to me.,he,11,himself,-1,FALSE,the caller,21,TRUE,no url
development_new44,I hung up the phone. The caller said goodbye to me. she said goodbye to me.,she,52,himself,-1,FALSE,the caller,21,TRUE,no url
development_new45,I hung up the phone. The caller said goodbye to me. The caller identified himself to it.,it,85,the phone,10,FALSE,me,48,TRUE,no url
development_new46,I hung up the phone. The caller said goodbye to me. The caller identified himself to it.,it,85,i,0,FALSE,me,48,TRUE,no url
development_new47,I recognized the caller. he identified himself to me. The caller said goodbye to me.,he,14,the caller,13,TRUE,himself,39,FALSE,no url
development_new48,I recognized the caller. she identified himself to me. The caller said goodbye to me.,she,25,the caller,13,TRUE,himself,39,FALSE,no url
development_new49,I recognized the caller. he identified himself to me. The caller said goodbye to me.,he,14,the caller,13,TRUE,i,0,FALSE,no url
development_new50,I recognized the caller. she identified himself to me. The caller said goodbye to me.,she,25,the caller,13,TRUE,i,0,FALSE,no url
development_new51,I recognized the caller. he identified himself to me. The caller said goodbye to me.,he,14,the caller,13,TRUE,me,50,FALSE,no url
development_new52,I recognized the caller. she identified himself to me. The caller said goodbye to me.,she,25,the caller,13,TRUE,me,50,FALSE,no url
development_new53,The woman's date wanted to look like a gentleman. He opened the door for her. He asked she if she liked sushi.,she,87,a gentleman,37,FALSE,her,73,TRUE,no url
development_new54,The woman's date wanted to look like a gentleman. He opened the door for her. he asked her if she liked sushi.,he,1,the door,60,FALSE,he,1,TRUE,no url
development_new55,The woman's date wanted to look like a gentleman. He opened the door for her. he asked her if she liked sushi.,he,1,she,94,FALSE,he,1,TRUE,no url
development_new56,The woman's date wanted to look like a gentleman. He opened the door for her. he asked her if she liked sushi.,he,1,the woman's date,0,FALSE,he,1,TRUE,no url
development_new57,The woman's date wanted to have Japanese cuisine. He asked her if she liked sushi. he opened the door for her.,he,1,her,59,FALSE,he,1,TRUE,no url
development_new58,The woman's date wanted to have Japanese cuisine. He asked her if she liked sushi. He opened the door for she.,she,66,the door,93,FALSE,her,59,TRUE,no url
development_new59,The woman's date wanted to have Japanese cuisine. He asked her if she liked sushi. He opened the door for she.,she,66,she,66,FALSE,her,59,TRUE,no url
development_new60,The woman's date wanted to have Japanese cuisine. He asked her if she liked sushi. He opened the door for she.,she,66,japanese cuisine,32,FALSE,her,59,TRUE,no url
development_new61,The woman's date wanted to have Japanese cuisine. He asked her if she liked sushi. He opened the door for she.,she,66,the woman's date,0,FALSE,her,59,TRUE,no url
