Id: 1, Sentence: My body cast a shadow over the grass. The sun was rising. it was cut., Option1: the grass, Option2: the grass, Answer: the grass
Id: 2, Sentence: The woman tolerated her friend's difficult behavior. The woman knew her friend was going through it. The woman felt that her friend took advantage of her kindness., Option1: a hard time, Option2: a hard time, Answer: a hard time
Id: 3, Sentence: The woman tolerated her friend's difficult behavior. The woman knew her friend was going through a hard time. The woman felt that her friend took advantage of it., Option1: her kindness, Option2: her kindness, Answer: her kindness
Id: 4, Sentence: The woman tolerated her friend's difficult behavior. The woman knew her friend was going through a hard time. The woman felt that her friend took advantage of it., Option1: her kindness, Option2: her kindness, Answer: her kindness
Id: 5, Sentence: The woman did not tolerate her friend's difficult behavior anymore. The woman felt that her friend took advantage of it. The woman knew her friend was going through a hard time., Option1: her kindness, Option2: her kindness, Answer: her kindness
Id: 6, Sentence: The woman did not tolerate her friend's difficult behavior anymore. The woman felt that her friend took advantage of her kindness. The woman knew it was going through a hard time., Option1: her friend, Option2: her friend, Answer: her friend
Id: 7, Sentence: The woman did not tolerate her friend's difficult behavior anymore. The woman felt that her friend took advantage of her kindness. The woman knew her friend was going through it., Option1: a hard time, Option2: a hard time, Answer: a hard time
Id: 8, Sentence: The guests of the party hid behind the couch. It was a birthday party. It was it., Option1: a surprise party, Option2: a surprise party, Answer: a surprise party
Id: 9, Sentence: The guests of the party brought candles. It was a birthday party. It was it., Option1: a surprise party, Option2: a surprise party, Answer: a surprise party
Id: 10, Sentence: The stain came out of the shirt. it patched the shitrt. I bleached the shirt., Option1: i, Option2: i, Answer: i
Id: 11, Sentence: The stain came out of the shirt. I patched the shirt. it bleached the shitrt., Option1: i, Option2: i, Answer: i
Id: 12, Sentence: The stain came out of the shirt. I patched the shirt. it bleached the shitrt., Option1: i, Option2: i, Answer: i
Id: 13, Sentence: The shirt did not have a hole anymore. it patched the shitrt. I bleached the shirt., Option1: i, Option2: i, Answer: i
Id: 14, Sentence: The shirt did not have a hole anymore. I patched the shirt. I bleached it., Option1: the shirt, Option2: the shirt, Answer: the shirt
Id: 15, Sentence: The shirt did not have a hole anymore. I patched the shirt. I bleached it., Option1: the shirt, Option2: the shirt, Answer: the shirt
Id: 16, Sentence: The man got a discount on his groceries. He greeted the cashier. He used it., Option1: a coupon, Option2: a coupon, Answer: a coupon
Id: 17, Sentence: The man looked friendly. He used a coupon. He greeted it., Option1: the cashier, Option2: the cashier, Answer: the cashier
Id: 18, Sentence: The physician misdiagnosed the patient. it disclosed confidential information to the physician. The patient filed a malpractice lawsuit against the physician., Option1: the patient, Option2: the patient, Answer: the patient
Id: 19, Sentence: The physician misdiagnosed the patient. The patient disclosed confidential information to the physician. The patient filed it against the physician., Option1: a malpractice lawsuit, Option2: a malpractice lawsuit, Answer: a malpractice lawsuit
Id: 20, Sentence: The physician misdiagnosed the patient. The patient disclosed confidential information to the physician. The patient filed it against the physician., Option1: a malpractice lawsuit, Option2: a malpractice lawsuit, Answer: a malpractice lawsuit
Id: 21, Sentence: The patient was a close friend of the physician. The patient disclosed confidential information to it. The patient filed a malpractice lawsuit against the physician., Option1: the physician, Option2: the physician, Answer: the physician
Id: 22, Sentence: The patient was a close friend of the physician. The patient disclosed confidential information to the physician. The patient filed it against the physician., Option1: a malpractice lawsuit, Option2: a malpractice lawsuit, Answer: a malpractice lawsuit
Id: 23, Sentence: The patient was a close friend of the physician. The patient disclosed confidential information to the physician. it filed a malpractice lawsuit against the physician., Option1: the patient, Option2: the patient, Answer: the patient
Id: 24, Sentence: The customer filed a complaint with the store manager. it acted rude to the customer. The sales associate undercharged the customer., Option1: the sales associate, Option2: the sales associate, Answer: the sales associate
Id: 25, Sentence: The customer filed a complaint with the store manager. The sales associate acted rude to the customer. The sales associate undercharged it., Option1: the customer, Option2: the customer, Answer: the customer
Id: 26, Sentence: The customer filed a complaint with the store manager. The sales associate acted rude to the customer. The sales associate undercharged it., Option1: the customer, Option2: the customer, Answer: the customer
Id: 27, Sentence: The sales associate sent another invoice to the customer.  it undercharged the customer. The sales associate acted rude to the customer., Option1: the sales associate, Option2: the sales associate, Answer: the sales associate
Id: 28, Sentence: The sales associate sent another invoice to the customer.  The sales associate undercharged the customer. it acted rude to the customer., Option1: the sales associate, Option2: the sales associate, Answer: the sales associate
Id: 29, Sentence: The sales associate sent another invoice to the customer.  The sales associate undercharged the customer. it acted rude to the customer., Option1: the sales associate, Option2: the sales associate, Answer: the sales associate
Id: 30, Sentence: The woman repaired her faucet. The faucet was leaky. it was turned off., Option1: the faucet, Option2: the faucet, Answer: the faucet
Id: 31, Sentence: The woman could not wash her hands. The faucet was leaky. it was turned off., Option1: the faucet, Option2: the faucet, Answer: the faucet
Id: 32, Sentence: The elderly woman suffered a stroke. The woman's daughter came over to clean her house. The woman's daughter moved in to take it of her., Option1: care, Option2: care, Answer: care
Id: 33, Sentence: The elderly woman made a phone call. The woman's daughter came over to clean her house. The woman's daughter moved in to take it of her., Option1: care, Option2: care, Answer: care
Id: 34, Sentence: The pond froze over for the winter. People brought it to the pond. People skated on the pond., Option1: boats, Option2: boats, Answer: boats
