id,p,a1,a2
,"In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son", He subsequently enrolls him in Chinese martial arts training with instructor Yip Man," As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in him having to leave Hong Kong"
, He subsequently enrolls him in Chinese martial arts training with instructor Yip Man," As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in him having to leave Hong Kong", His father insists he go to the US
," As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in him having to leave Hong Kong", His father insists he go to the US,"In the US, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks"
, His father insists he go to the US,"In the US, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks", The restaurant owner fires him but also lends him money and encourages him to go to college
,"In the US, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks", The restaurant owner fires him but also lends him money and encourages him to go to college," While studying philosophy in college, Bruce begins to teach martial arts classes, where he meets Linda, a white American"
, The restaurant owner fires him but also lends him money and encourages him to go to college," While studying philosophy in college, Bruce begins to teach martial arts classes, where he meets Linda, a white American"," Bruce marries Linda in defiance of her racist mother, Vivian"
," While studying philosophy in college, Bruce begins to teach martial arts classes, where he meets Linda, a white American"," Bruce marries Linda in defiance of her racist mother, Vivian"," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people"
," Bruce marries Linda in defiance of her racist mother, Vivian"," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people"," When Bruce refuses, they challenge him to settle the matter in combat"
," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people"," When Bruce refuses, they challenge him to settle the matter in combat"," Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury"
," When Bruce refuses, they challenge him to settle the matter in combat"," Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury"," While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"
," Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury"," While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," Linda gives birth to their first child, Brandon, and the couple reconcile with her mother"
," While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," Linda gives birth to their first child, Brandon, and the couple reconcile with her mother","Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch"
," Linda gives birth to their first child, Brandon, and the couple reconcile with her mother","Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch"," Bruce defeats Johnny, earning the respect of the audience"
,"Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch"," Bruce defeats Johnny, earning the respect of the audience"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight"
